Fund,Capital Commited,Called,Called %,Distributed,NAV,Total Value,DPI,TVPI,IRR
OMDR012011AF,2000000,2000000,1.0,1102954,1073624,2176578,0.551477,1.088289,0.028632092836322065
OMRO012011,589875000,589875000,1.0,327684602,320239879,647924481,0.5555153244331427,1.0984098003814367,0.0332119380262351
PCRE032015GB,4000000,2793997,0.69849925,106598,2871557,2978155,0.03815251054313945,1.065912024959225,0.06301423551125193
PSPE042014AF,2000000,1361544,0.680772,53791,1396004,1449795,0.03950735341641548,1.0648168549822847,0.04288924469608405
QCVD032017AF,3570000,1704676,0.4775002801120448,0,1603966,1603966,0.0,0.940921324638817,-0.21682525398545646
RVCOBB2014FH,500000,500000,1.0,0,819812,819812,0.0,1.639624,0.21647993027136342
RVVC012013BG,750000,750000,1.0,264096,1209447,1473543,0.352128,1.964724,0.18777977972547266
RVVC012013FH,2500000,2500000,1.0,880320,4031493,4911813,0.352128,1.9647252,0.18758150913092583
RVVC022013M1,2500000,2500000,1.0,880320,4031493,4911813,0.352128,1.9647252,0.18777983568054182
RVVC022014BG,1000000,930000,0.93,22259,1250455,1272714,0.02393440860215054,1.3685096774193548,0.13379124299986966
RVVC022014FH,3000000,2790000,0.93,66778,3751364,3818142,0.023934767025089607,1.3685096774193548,0.13379125346852933
RVVC022014M2,1500000,1395000,0.93,33389,1879365,1912754,0.023934767025089607,1.3711498207885304,0.11915769718250223
RVVC022014MI,500000,465000,0.93,11130,625227,636357,0.023935483870967743,1.3685096774193548,0.13379127440585306
RVVC032016FH,2500000,1200000,0.48,0,1235751,1235751,0.0,1.0297925,0.04551456385977659
RVVC1A2013BG,550000,544500,0.99,85614,692810,778424,0.15723415977961433,1.4296124885215795,0.12445013204665965
RVVC1A2013FH,2000000,1980000,0.99,311324,2519310,2830634,0.15723434343434342,1.4296131313131313,0.12625363656008723
RVVC1A2013M1,1500000,1510000,1.0066666666666666,258493,1889482,2147975,0.17118741721854305,1.4225,0.1199241273501935
RVVC1A2013MI,500000,495000,0.99,77831,629827,707658,0.15723434343434342,1.4296121212121211,0.15131634356343426
SCPE042010AF,3000000,3187180,1.0623933333333333,434886,1607600,2042486,0.13644852189082513,0.6408442573058315,-0.12288240805182161
TBPE112014AF,2000000,2064546,1.032273,147925,2962413,3110338,0.07165013518710651,1.5065481708811526,0.16641021206614154
VDDD102010AF,3000000,3000000,1.0,4117031,1332081,5449112,1.3723436666666666,1.8163706666666666,0.11571772858918501
WCPE032011AF,3000000,2572568,0.8575226666666667,1573457,2119329,3692786,0.6116289248719567,1.4354473817601712,0.14074432354838642
WCPE042017AF,2500000,805821,0.3223284,0,745004,745004,0.0,0.9245279038396865,-0.1367477717460069
